Item,Series,Time Stamp,Date,Time (s),NodeNumber,Measurement ID,Image,Intensity (Cnt/s),Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,% Acqs Unmarked,Acq Time (s),DLS Temp (C),Attenuation Level (%),Laser Power (%),Set Temp (C),Ramp Rate (C/min),Well,Insert Info,Row,Col,Configuration,Radius (nm),Amplitude,Diffusion Coefficient (cm²/s),Diameter (nm),Polydispersity (nm),%PD,PD Index,Mw-R (kDa),Baseline,SOS,Viscosity from Sample Rh (cP),Lambda (1/s),Sigma (1/s²),D10 (nm),D50 (nm),D90 (nm),Span (D90 - D10)/D50,Range1 Radius (I) (nm),Range1 %Pd (I),Range1 Mw-R (I) (kDa),Range1 %Intensity (I),Range1 %Mass (I),Range1 %Number (I),Range1 Diameter (I) (nm),Range1 Diffusion Coefficient (I) (cm²/s),Range1 Particle Concentration (I) (1/mL),Range2 Radius (I) (nm),Range2 %Pd (I),Range2 Mw-R (I) (kDa),Range2 %Intensity (I),Range2 %Mass (I),Range2 %Number (I),Range2 Diameter (I) (nm),Range2 Diffusion Coefficient (I) (cm²/s),Range2 Particle Concentration (I) (1/mL),Range3 Radius (I) (nm),Range3 %Pd (I),Range3 Mw-R (I) (kDa),Range3 %Intensity (I),Range3 %Mass (I),Range3 %Number (I),Range3 Diameter (I) (nm),Range3 Diffusion Coefficient (I) (cm²/s),Range3 Particle Concentration (I) (1/mL),Range4 Radius (I) (nm),Range4 %Pd (I),Range4 Mw-R (I) (kDa),Range4 %Intensity (I),Range4 %Mass (I),Range4 %Number (I),Range4 Diameter (I) (nm),Range4 Diffusion Coefficient (I) (cm²/s),Range4 Particle Concentration (I) (1/mL),Range5 Radius (I) (nm),Range5 %Pd (I),Range5 Mw-R (I) (kDa),Range5 %Intensity (I),Range5 %Mass (I),Range5 %Number (I),Range5 Diameter (I) (nm),Range5 Diffusion Coefficient (I) (cm²/s),Range5 Particle Concentration (I) (1/mL),RMS Error,Number Unfiltered Peaks (I),Number Filtered Peaks (I),Pre-correction Internal Standard Rh (I) (nm),Internal Standard Viscosity (I) (cP),Mw-S (Da),1/Mw-S (1/Da),Particle Concentration (1/mL),Particle Concentration Calculation,Particle Material,Particle Shape,Particle Core Real RI,Particle Core Imaginary RI,Sample,Concentration (mg/mL),Mw-R Model,dn/dc (mL/g),Conformation Model for SLS,A2 (mol mL/g^2),Viscosity Calculation: Use Internal Standard,Internal Standard Rh (nm),Internal Standard Rh Range Minimum (nm),Internal Standard Rh Range Maximum (nm),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,
A1,,12:38:36,2025-08-30,0,1,1,None,3570358.7391701783,3570358.7391701783,8,8,0,100,5.0331602096557617,25.336076619959918,0,100,25,5,A1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,1,2025-Aug-30 12:37:26,36.652385669882776,0.053195862294189211,6.6757125644715988e-08,73.304771339765551,20.92104622276603,57.079630262531126,0.57079630262531122,15376.769228395653,1.002606292257096,4.4226642830452905,--,0.00042518200565471213,3372.2403923816496,--,--,--,--,7.3424783114791756,17.720327233056292,357.3364694388361,24.767658169258699,95.560714475440264,99.997586398233608,14.684956622958351,3.3324006031010421e-07,--,68.979417894459985,24.443996342113234,67517.227801986504,74.170847062024009,3.0405505454017288,0.0024135533717680947,137.95883578891997,3.5471565142614314e-08,--,--,--,--,--,--,--,--,--,--,1994.9432184184141,11.302934230004386,177156108.78668094,1.0614947687172924,1.3987349791580155,4.8394622353231754e-08,3989.8864368368281,1.226505041723832e-09,--,--,--,--,--,--,--,--,--,--,7.2780095086129621e-05,5,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89308107802437486,Aqueous,
A2,,12:39:22,2025-08-30,46,2,2,None,2777768.3329004231,2777768.3329004231,8,8,0,100,5.0331602096557617,25.369071945311887,0,100,25,5,A2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,2,2025-Aug-30 12:37:26,40.901345783633118,0.05086865158101965,5.9874015029686148e-08,81.802691567266237,23.346335943488381,57.079627812223563,0.57079627812223566,19875.693409472296,1.0024416147739461,5.2849984736633324,--,0.00079896080789257395,3024.5394374052835,--,--,--,--,8.7658730396730746,17.440968274189274,540.9172243213402,28.630353374528877,89.679945641969496,99.994905184366161,17.531746079346149,2.7937066634437281e-07,--,88.427857770385174,17.382906878259284,120727.95466565696,71.369646625471134,10.320054358030514,0.0050948156338301879,176.85571554077035,2.7694075757694024e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00019677167611972405,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89240668340176432,Aqueous,
A3,,12:40:09,2025-08-30,93,3,3,None,3953183.5382254487,3953183.5382254487,8,8,0,100,5.0331602096557617,25.303777065240578,0,100,25,5,A3,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,3,2025-Aug-30 12:37:26,37.773254360118507,0.049479812181719582,6.4721284280801837e-08,75.546508720237014,21.56083425693885,57.079631136318127,0.57079631136318132,16499.649697811292,1.001729730492575,3.7262598347341878,--,0.00025123517734022507,3269.3998114061233,--,--,--,--,6.6134689729463521,14.488946435151991,279.7816204739193,21.740889623850695,98.163106371295157,99.998719517791884,13.226937945892704,3.6965978726942134e-07,--,69.526020768695005,17.401783887973174,68775.710024475498,78.259110376149309,1.8368936287048263,0.0012804822081105009,139.05204153739001,3.5162857109075919e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00011933606893736501,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89374209449450637,Aqueous,
A4,,12:40:55,2025-08-30,139,4,4,None,2818294.9439887265,2818294.9439887265,8,8,0,100,5.0331602096557617,25.175236372620265,0,100,25,5,A4,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,4,2025-Aug-30 12:37:26,40.871431020497319,0.044535583583175817,5.9613425796098446e-08,81.742862040994638,23.329261705880146,57.079630253661414,0.57079630253661418,19841.696755411165,1.0023095815152452,2.6738606781895209,--,0.00038118826624700651,3011.3759454231567,--,--,--,--,6.6334841280814398,36.756066262353791,281.76683505706546,17.755112950682026,96.359987752187607,99.996414247452137,13.26696825616288,3.6730110048902201e-07,--,70.061986840183209,47.136809433919311,70022.64178097884,82.244887049317967,3.6400122478123844,0.003585752547860786,140.12397368036642,3.4776147954219246e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00011380455980821394,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89638099260084347,Aqueous,
A5,,12:41:41,2025-08-30,185,5,5,None,4437535.5830658749,4437535.5830658749,8,8,0,100,5.0331602096557617,25.074436718212269,0,100,25,5,A5,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,5,2025-Aug-30 12:37:26,36.496767418100127,0.049315630541642695,6.658198337511783e-08,72.993534836200254,20.83222035525473,57.079631509839537,0.57079631509839535,15224.446149215304,1.0015692817127293,3.3409412400480196,--,0.00018766468279358923,3363.3931773033605,--,--,--,--,7.1632405956738312,18.266789797710313,337.25931614974678,22.451350840523471,95.376178541373534,99.99672092956601,14.326481191347662,3.3923573123386028e-07,--,75.765583076767953,45.019749889781139,84094.418604542152,77.548649159476525,4.6238214586264581,0.0032790704339904385,151.53116615353591,3.2072968527349797e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.0643217916598281e-05,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89845968513556584,Aqueous,
A6,,12:42:28,2025-08-30,232,6,6,None,5332916.6296735452,5332916.6296735452,8,8,0,100,5.0331602096557617,24.984013319743486,0,100,25,5,A6,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,6,2025-Aug-30 12:37:26,46.263985764233638,0.044526752339677733,5.2400148030287642e-08,92.527971528467276,26.407312616373559,57.079631553900548,0.57079631553900545,26516.386194478135,1.0012176431829725,3.4015213367690036,--,0.00014112033767676611,2646.9968547063122,--,--,--,--,2.3923767442517896,0,25.915768399209099,1.1155180906278319,65.635011939872356,98.973718404850345,4.7847534885035792,1.0133185370329865e-06,--,93.862194632156815,13.894301111701662,138807.33225897577,76.122868886655496,6.1523067695156639,0.00012071743358956612,187.72438926431363,2.5827647776801801e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.1921099584662406e-05,4,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90033139843285837,Aqueous,
A7,,12:43:12,2025-08-30,276,7,7,None,5733003.6027108878,5733003.6027108878,8,8,0,100,5.0331602096557617,24.886031136385622,0,100,25,5,A7,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,7,2025-Aug-30 12:37:26,42.097064290248923,0.054463986062528259,5.7438101014733837e-08,84.194128580497846,24.028847676114736,57.079627953250444,0.57079627953250445,21261.947619815252,1.0009788195097447,4.1708763792047323,--,0.00074339786777817606,2901.4891062734364,--,--,--,--,7.1114203938324234,11.528483552533482,331.57832381730594,20.220636133884312,95.028451819216812,99.997673348065817,14.222840787664847,3.4001300685642473e-07,--,80.032620345283803,15.895177425209091,95596.693032653391,79.779363866115688,4.9715481807831798,0.0023266519341857933,160.06524069056761,3.0212373663329013e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.8984138831832873e-05,5,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90236708418700817,Aqueous,
A8,,12:43:58,2025-08-30,322,8,8,None,4026384.9641921977,4026384.9641921977,8,8,0,100,5.0331602096557617,24.805273914046932,0,100,25,5,A8,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,8,2025-Aug-30 12:37:26,44.024228465631417,0.055370583822976514,5.4806590553070041e-08,88.048456931262834,25.128865755495735,57.0796278124742,0.57079627812474198,23609.599632622288,1.0009308884115915,3.3147488715052993,--,0.00073130181632252201,2768.5581879946235,--,--,--,--,6.7594588283531207,23.871781814267507,294.44662752403769,16.575234403967826,95.09145502179986,99.998569159332945,13.518917656706241,3.5695429548441131e-07,--,74.917882733688614,25.760840319024148,81909.410262095043,83.424765596032174,4.9085449782001369,0.0014308406670463306,149.83576546737723,3.2206167284619363e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.4213693992123075e-05,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90405080143490979,Aqueous,
B1,,12:44:54,2025-08-30,378,9,9,None,3433730.5638591824,3433730.5638591824,8,8,0,100,5.0331602096557617,24.826694397608904,0,100,25,5,B1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",2,1,2025-Aug-30 12:37:26,33.851570649083939,0.048675995726441483,7.1316791426624303e-08,67.703141298167878,19.322351902602904,57.079631851958958,0.57079631851958956,12766.950943409687,1.0011091113061452,3.1961559564500992,--,0.00013155718231885785,3602.5723425229176,--,--,--,--,7.7954104548172074,34.142240132150356,411.0583926010159,24.606197882475314,96.630419144418866,99.999043360093822,15.590820909634415,3.096931736227564e-07,--,74.118541113774512,30.298000772474165,79879.167523904485,75.393802117524686,3.3695808555811251,0.00095663990618273704,148.23708222754902,3.2571949840978365e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.138968380963842e-05,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90360368236590038,Aqueous,
B2,,12:45:39,2025-08-30,423,10,10,None,2961094.8441101955,2961094.8441101955,8,8,0,100,5.0331602096557617,24.850742535486692,0,100,25,5,B2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",2,2,2025-Aug-30 12:37:26,39.915736613679975,0.033956833276500793,6.0520519438301995e-08,79.83147322735995,22.783755768229884,57.079632498680745,0.57079632498680744,18773.088843335441,1.001033501491468,2.4974755643333308,--,2.2726891366168694e-07,3057.1980138307076,--,--,--,--,7.6128445513845735,17.035587735251955,388.88593745973139,24.505020257820391,93.332234642632102,99.997197848912521,15.225689102769147,3.1732174449601843e-07,--,83.743007260916599,21.923567966306994,106290.31173270797,75.494979742179623,6.6677653573679034,0.002802151087474441,167.4860145218332,2.8846839785628219e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0002626576564789919,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90310216340448124,Aqueous,
