Item,Series,Time Stamp,Date,Time (s),NodeNumber,Measurement ID,Image,Intensity (Cnt/s),Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,% Acqs Unmarked,Acq Time (s),DLS Temp (C),Attenuation Level (%),Laser Power (%),Set Temp (C),Ramp Rate (C/min),Well,Insert Info,Row,Col,Configuration,Radius (nm),Amplitude,Diffusion Coefficient (cm²/s),Diameter (nm),Polydispersity (nm),%PD,PD Index,Mw-R (kDa),Baseline,SOS,Viscosity from Sample Rh (cP),Lambda (1/s),Sigma (1/s²),D10 (nm),D50 (nm),D90 (nm),Span (D90 - D10)/D50,Range1 Radius (I) (nm),Range1 %Pd (I),Range1 Mw-R (I) (kDa),Range1 %Intensity (I),Range1 %Mass (I),Range1 %Number (I),Range1 Diameter (I) (nm),Range1 Diffusion Coefficient (I) (cm²/s),Range1 Particle Concentration (I) (1/mL),Range2 Radius (I) (nm),Range2 %Pd (I),Range2 Mw-R (I) (kDa),Range2 %Intensity (I),Range2 %Mass (I),Range2 %Number (I),Range2 Diameter (I) (nm),Range2 Diffusion Coefficient (I) (cm²/s),Range2 Particle Concentration (I) (1/mL),Range3 Radius (I) (nm),Range3 %Pd (I),Range3 Mw-R (I) (kDa),Range3 %Intensity (I),Range3 %Mass (I),Range3 %Number (I),Range3 Diameter (I) (nm),Range3 Diffusion Coefficient (I) (cm²/s),Range3 Particle Concentration (I) (1/mL),Range4 Radius (I) (nm),Range4 %Pd (I),Range4 Mw-R (I) (kDa),Range4 %Intensity (I),Range4 %Mass (I),Range4 %Number (I),Range4 Diameter (I) (nm),Range4 Diffusion Coefficient (I) (cm²/s),Range4 Particle Concentration (I) (1/mL),Range5 Radius (I) (nm),Range5 %Pd (I),Range5 Mw-R (I) (kDa),Range5 %Intensity (I),Range5 %Mass (I),Range5 %Number (I),Range5 Diameter (I) (nm),Range5 Diffusion Coefficient (I) (cm²/s),Range5 Particle Concentration (I) (1/mL),RMS Error,Number Unfiltered Peaks (I),Number Filtered Peaks (I),Pre-correction Internal Standard Rh (I) (nm),Internal Standard Viscosity (I) (cP),Mw-S (Da),1/Mw-S (1/Da),Particle Concentration (1/mL),Particle Concentration Calculation,Particle Material,Particle Shape,Particle Core Real RI,Particle Core Imaginary RI,Sample,Concentration (mg/mL),Mw-R Model,dn/dc (mL/g),Conformation Model for SLS,A2 (mol mL/g^2),Viscosity Calculation: Use Internal Standard,Internal Standard Rh (nm),Internal Standard Rh Range Minimum (nm),Internal Standard Rh Range Maximum (nm),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,
A1,,18:51:27,2025-08-30,0,1,1,None,5812092.6532470211,23248370.612988085,8,8,0,100,5.0331602096557617,25.24356228858576,0,25,25,5,A1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,1,2025-Aug-30 18:50:20,373.71989683944003,0.058230304289288451,6.5312777401029576e-09,747.43979367888005,162.91887960088641,43.593846883373374,0.43593846883373372,3519024.6065903828,1.0009344332577774,0.17216841650008252,--,167.63028051913216,235.32822921273066,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140.87117732799899,16.18918863434385,358915.91024998244,10.090608019117717,4.7077680211030453,58.570445382117278,281.74235465599799,1.7326954239743337e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00011435671508161244,5,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89497663203879074,Aqueous,
A2,,18:52:13,2025-08-30,46,2,2,None,5868959.6662673373,47909873.894214667,8,8,0,100,5.0331602096557617,25.213475221159865,50.999999046325684,25,25,5,A2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,2,2025-Aug-30 18:50:20,686.00398853172169,0.064597293422686136,3.555282864993428e-09,1372.0079770634434,391.56855535721081,57.079632466175397,0.57079632466175401,14575240.562043769,1.0007764107052071,0.19814230160075427,--,3.4231557704021618e-07,179.59534725206268,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1566.3789636148301,184.63330059242463,100600071.21757214,99.999999999999986,100,100,3132.7579272296603,1.5570550182284682e-09,--,--,--,--,--,--,--,--,--,--,0.00026246606903004366,2,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89559457441860002,Aqueous,
B1,,18:52:59,2025-08-30,92,3,3,None,5391592.7133767847,18338749.640132584,8,8,0,100,5.0331602096557617,25.127425109310121,50.999999046325684,60.000002384185791,25,5,B1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",2,1,2025-Aug-30 18:50:20,379.09899482062281,0.10509907908858031,6.4189605711128704e-09,758.19798964124561,181.38975130655933,47.847594898632487,0.47847594898632484,3638681.7104982059,1.002237429420759,0.62802543574475289,--,127.08985952290814,257.06224183939378,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,130.6935331514336,16.593030476129968,301154.9442907857,10.061430974596604,5.57479419492571,67.960209140507018,261.3870663028672,1.8619295397596396e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00022172486444205745,5,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89736593427552058,Aqueous,
B2,,18:53:48,2025-08-30,141,4,4,None,6337887.8542464636,45270632.156057507,8,8,0,100,5.0331602096557617,25.025294176927297,86.000001430511475,100,25,5,B2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",2,2,2025-Aug-30 18:50:20,629.16285513800767,0.060517687284626843,3.8573177930639233e-09,1258.3257102760153,359.1238410493321,57.079631786361226,0.57079631786361229,11904865.668870991,1.0086994194846497,0.59226804731625327,--,7.8358141128903002e-06,194.85265806604482,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,458.1685539045028,13.67283202572707,5668205.7159578642,100.00000000000001,100,100,916.3371078090056,5.296917597632808e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00053815596147690039,3,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89947608464835116,Aqueous,
C1,,18:54:35,2025-08-30,188,5,5,None,5080461.3700649496,10160922.740129899,8,8,0,100,5.0331602096557617,24.979224221156993,0,50,25,5,C1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",3,1,2025-Aug-30 18:50:20,53.152598028638053,0.065052324791383731,4.5603290211522988e-08,106.30519605727611,13.774124668324973,25.914301801209454,0.25914301801209455,36691.112134360148,1.0000147521625284,0.2061079052527072,--,1730.6107469997464,1035.8439713262112,--,--,--,--,3.487128518143479,11.586210727964028,62.581385697633877,1.7898025214494271,94.917587953103848,99.99870054234421,6.974257036286958,6.9510869495767536e-07,--,60.411278080349398,27.374902254883487,49503.808237895413,98.210197478550569,5.0824120468961445,0.001299457655786217,120.8225561606988,4.0123854856579567e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00011064895811197068,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90043071527802121,Aqueous,
C2,,18:55:19,2025-08-30,232,6,6,None,6984335.501409471,14939754.864180559,8,8,0,100,5.0331602096557617,24.883175948283451,15.000000596046448,55.000001192092896,25,5,C2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",3,2,2025-Aug-30 18:50:20,55.705514249947704,0.088803513008188423,4.3403117852657229e-08,111.41102849989541,16.412796477234441,29.463504104084002,0.29463504104084004,40947.862587741176,0.99996560532803191,0.32556764172306946,--,1588.1958990849214,1087.9458659883885,--,--,--,--,3.266014535449639,11.340938162651556,53.688125219954649,1.6324198812036852,92.056935579266707,99.99886154389506,6.5320290708992781,7.4028849957353101e-07,--,65.548131099271984,36.279841901581499,59919.265249561795,96.688258514545424,6.8035983780605136,0.0011383161614007926,131.09626219854397,3.6885765612014687e-08,--,674.66851096443065,20.143790931006567,14017948.832723515,1.6793216042508914,1.1394660426727727,1.3994352351641401e-07,1349.3370219288613,3.5836754802401412e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00010910818770238289,5,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90242652130648371,Aqueous,
D1,,18:56:05,2025-08-30,278,7,7,None,5570846.0307291048,10216261.947569264,8,8,0,100,5.0331602096557617,24.815425694360478,0.85599999874830246,55.000001192092896,25,5,D1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",4,1,2025-Aug-30 18:50:20,53.609735733400974,0.090242152606859916,4.501917242597004e-08,107.21947146680195,14.092644341933713,26.287472133822593,0.26287472133822593,37433.720040104941,0.99995678978166291,0.46472828598174332,--,1702.8733183257625,1033.4680989969193,--,--,--,--,--,--,--,--,--,--,--,--,--,10.448691337322501,10.244519794239494,815.79246732695617,3.8319838667484767,67.042276405615851,99.768078428363452,20.897382674645002,2.3098260430680131e-07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0001552429194772214,5,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90383885198186764,Aqueous,
D2,,18:56:49,2025-08-30,322,8,8,None,5287050.4401118699,15236281.224663273,8,8,0,100,5.0331602096557617,24.770711623154281,0.85599999874830246,34.999999403953552,25,5,D2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",4,2,2025-Aug-30 18:50:20,55.914672655459128,0.076472814632617361,4.3112334137282385e-08,111.82934531091826,14.855193447210926,26.567612295161254,0.26567612295161253,41308.506473924019,0.99989488970571827,0.26695231814653658,--,1626.6212546018639,997.55766123724447,--,--,--,--,2.9709889935481257,15.536019510201704,43.020209160820365,1.3886877473811923,92.653085215693025,99.999105561670959,5.9419779870962515,8.113837028457077e-07,--,72.469369953246655,43.940030412017222,75782.359458953448,98.611312252618816,7.3469147843069917,0.00089443832903430187,144.93873990649331,3.3263874823999685e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00011023176706086976,3,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90477302948286076,Aqueous,
E1,,18:57:34,2025-08-30,367,9,9,None,5152858.3635402657,8662245.7548599746,8,8,0,100,5.0331602096557617,24.753127940833444,0.85599999874830246,60.000002384185791,25,5,E1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",5,1,2025-Aug-30 18:50:20,47.837493159207455,0.092973792994411525,5.0368236802738591e-08,95.674986318414909,14.166118965228401,29.613004423292605,0.29613004423292605,28674.825944180186,1.0000320399463456,0.6721395507669008,--,1839.7090232633791,1267.6592849472213,--,--,--,--,3.4982413296810275,11.337764825303941,63.049020046431238,2.7310431507053594,97.309709825624651,99.999197213901056,6.996482659362055,6.8877185889060661e-07,--,54.537013916159026,19.810392659933278,38966.292859542169,97.268956849294639,2.6902901743753462,0.00080278609894039005,109.07402783231805,4.4180823453159944e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00012270327770938836,3,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90514084232477621,Aqueous,
E2,,18:58:19,2025-08-30,412,10,10,None,5177445.2650789963,14920419.802610343,8,8,0,100,5.0331602096557617,24.75139232017786,0.85599999874830246,34.999999403953552,25,5,E2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",5,2,2025-Aug-30 18:50:20,52.867977802248568,0.073446098920230227,4.5573512757298441e-08,105.73595560449714,15.613665896392966,29.533314012492621,0.29533314012492623,36233.053432790293,0.9999700954378038,0.42967628505831978,--,1666.2024662012886,1144.5132418038652,--,--,--,--,4.3553652015291906,11.763973694504495,105.28545113265872,2.6867183622703079,87.615204399829111,99.998288686912844,8.7107304030583812,5.5319803261903287e-07,--,58.676401476192986,12.159413526310832,46241.241736770738,93.40181159780812,4.0085474006552637,0.0017111158421782141,117.35280295238597,4.1062154464276629e-08,--,--,--,--,--,--,--,--,--,--,1496.8468232106457,8.3337954402972194,90460429.255257368,3.9114700399215776,8.3762481995156097,1.9724499045202494e-07,2993.6936464212913,1.6096366197680619e-09,--,--,--,--,--,--,--,--,--,--,9.7170537127395221e-05,4,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90517716157323835,Aqueous,
F1,,18:59:04,2025-08-30,457,11,11,None,5625581.1647012383,8105931.430809577,8,8,0,100,5.0331602096557617,24.789442712919911,0.85599999874830246,69.999998807907104,25,5,F1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",6,1,2025-Aug-30 18:50:20,48.614253089123757,0.074848831766449284,4.9611116680292305e-08,97.228506178247514,16.376394122476551,33.686404874829528,0.33686404874829529,29776.124379229215,1.0001297826507567,0.4610428100289789,--,1705.5159129064903,1391.012271192011,--,--,--,--,3.9922672058128708,9.4322658011906615,85.884003402491786,3.1117362082173972,96.437728314704387,99.998285906614285,7.9845344116257415,6.0411972896456158e-07,--,55.354474444341477,19.502666707465863,40346.644266876428,96.888263791782592,3.5622716852956207,0.0017140933857133303,110.70894888868295,4.3570233599721618e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00010165197604858696,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90438149500661458,Aqueous,
F2,,18:59:48,2025-08-30,501,12,12,None,5857470.8637246173,14770109.074597431,8,8,0,100,5.0331602096557617,24.854092544487635,0.85599999874830246,40.000000596046448,25,5,F2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",6,2,2025-Aug-30 18:50:20,52.132542596175192,0.084117029764418677,4.6342168617031321e-08,104.26508519235038,15.620353776372299,29.962769890909403,0.29962769890909402,35064.695947393622,0.99976745144302614,0.5535039331522208,--,1685.2920959717198,1177.4070803180723,--,--,--,--,4.1806251965151651,15.043510670266363,95.666282058625328,2.7034849787005131,91.54405466827474,99.997954182069989,8.3612503930303301,5.7788846544779105e-07,--,67.332927969253731,34.029255361328019,63806.564567226866,97.296515021299484,8.4559453317252569,0.0020458179299962065,134.66585593850746,3.5880439961406528e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00012748182100752757,3,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90303233725508203,Aqueous,
G1,,19:00:35,2025-08-30,548,13,13,None,4196109.505024014,4979221.4144528219,8,8,0,100,5.0331602096557617,24.93378296409804,0.85599999874830246,85.000002384185791,25,5,G1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",7,1,2025-Aug-30 18:50:20,55.409505519080888,0.070313935187228005,4.3693359235665469e-08,110.81901103816178,31.62754207501191,57.079632418160827,0.57079632418160831,40440.558321046869,1.0141135185306034,3.687740599808051,--,1.0178804424438568e-05,2207.1729065876907,--,--,--,--,2.5708416772296547,15.121107050236684,30.667114795573106,2.1627194324231525,94.634019984181904,99.998882927705964,5.1416833544593095,9.4172560339254137e-07,--,42.810518880168324,31.729522440030561,22114.671767467444,92.591912787819908,2.1315795026455775,0.0011170632251615413,85.621037760336648,5.6552162717124048e-08,--,--,--,--,--,--,--,--,--,--,1710.2207750240991,21.431921164707294,123558931.18349846,5.2453677797569425,3.2344005131725271,9.0688741069442156e-09,3420.4415500481982,1.4156227459473322e-09,--,--,--,--,--,--,--,--,--,--,0.00013549013569845791,5,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90137401028271413,Aqueous,
G2,,19:01:25,2025-08-30,598,14,14,None,7278737.35764948,12780925.892789248,8,8,0,100,5.0331602096557617,25.009313810341876,33.000001311302185,85.000002384185791,25,5,G2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",7,2,2025-Aug-30 18:50:20,53.377891738059361,0.065987182741928233,4.5446875727851699e-08,106.75578347611872,17.393047382723971,32.584740266769337,0.32584740266769335,37056.030887088447,0.99998497505439921,0.28563187056579403,--,1591.8008135152929,1238.074729373413,--,--,--,--,3.6520782097221876,17.132968790909722,69.728434025069063,2.2410446964884088,93.235329457668115,99.998622281927766,7.3041564194443751,6.6424054281653513e-07,--,65.230490499096163,35.864395087427518,59242.076782296295,97.758955303511584,6.7646705423318885,0.0013777180722504407,130.46098099819233,3.7189026080800641e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.2229654883199984e-05,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89980702366984622,Aqueous,
