Item,Series,Time Stamp,Date,Time (s),NodeNumber,Measurement ID,Image,Intensity (Cnt/s),Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,% Acqs Unmarked,Acq Time (s),DLS Temp (C),Attenuation Level (%),Laser Power (%),Set Temp (C),Ramp Rate (C/min),Well,Insert Info,Row,Col,Configuration,Radius (nm),Amplitude,Diffusion Coefficient (cm²/s),Diameter (nm),Polydispersity (nm),%PD,PD Index,Mw-R (kDa),Baseline,SOS,Viscosity from Sample Rh (cP),Lambda (1/s),Sigma (1/s²),D10 (nm),D50 (nm),D90 (nm),Span (D90 - D10)/D50,Range1 Radius (M) (nm),Range1 %Pd (M),Range1 Mw-R (M) (kDa),Range1 %Intensity (M),Range1 %Mass (M),Range1 %Number (M),Range1 Diameter (M) (nm),Range1 Diffusion Coefficient (M) (cm²/s),Range1 Particle Concentration (M) (1/mL),Range2 Radius (M) (nm),Range2 %Pd (M),Range2 Mw-R (M) (kDa),Range2 %Intensity (M),Range2 %Mass (M),Range2 %Number (M),Range2 Diameter (M) (nm),Range2 Diffusion Coefficient (M) (cm²/s),Range2 Particle Concentration (M) (1/mL),Range3 Radius (M) (nm),Range3 %Pd (M),Range3 Mw-R (M) (kDa),Range3 %Intensity (M),Range3 %Mass (M),Range3 %Number (M),Range3 Diameter (M) (nm),Range3 Diffusion Coefficient (M) (cm²/s),Range3 Particle Concentration (M) (1/mL),Range4 Radius (M) (nm),Range4 %Pd (M),Range4 Mw-R (M) (kDa),Range4 %Intensity (M),Range4 %Mass (M),Range4 %Number (M),Range4 Diameter (M) (nm),Range4 Diffusion Coefficient (M) (cm²/s),Range4 Particle Concentration (M) (1/mL),Range5 Radius (M) (nm),Range5 %Pd (M),Range5 Mw-R (M) (kDa),Range5 %Intensity (M),Range5 %Mass (M),Range5 %Number (M),Range5 Diameter (M) (nm),Range5 Diffusion Coefficient (M) (cm²/s),Range5 Particle Concentration (M) (1/mL),RMS Error,Number Unfiltered Peaks (M),Number Filtered Peaks (M),Pre-correction Internal Standard Rh (M) (nm),Internal Standard Viscosity (M) (cP),Mw-S (Da),1/Mw-S (1/Da),Particle Concentration (1/mL),Particle Concentration Calculation,Particle Material,Particle Shape,Particle Core Real RI,Particle Core Imaginary RI,Sample,Concentration (mg/mL),Mw-R Model,dn/dc (mL/g),Conformation Model for SLS,A2 (mol mL/g^2),Viscosity Calculation: Use Internal Standard,Internal Standard Rh (nm),Internal Standard Rh Range Minimum (nm),Internal Standard Rh Range Maximum (nm),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,
A1 ,,17:37:01,2025-06-16,0,1,1,None,4728931.141399472,4728931.141399472,8,8,0,100,5.0331602096557617,25.171177031772839,0,100,25,0,A1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,1,2025-Jun-16 17:21:29,48.89068715644779,0.072484192921234453,5.0561709348858648e-08,97.781374312895579,25.080245795707093,51.298615860013463,0.51298615860013463,30173.798290383671,1.0006089241325025,1.2277635478605322,--,693.88517076178459,2206.6749817016389,--,--,--,--,3.921044623895257,1.0971898920638843,82.341761535288953,5.1861642353880528,98.128562091977329,99.999353343601641,7.842089247790514,6.304434024559891e-07,--,57.37044943579297,11.079593121306116,43868.969190577191,94.813835764611937,1.8714379080226724,0.00064665639836562815,114.74089887158594,4.308832749579317e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00015941756494241316,3,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88349228458806095,Aqueous,
A2 ,,17:37:46,2025-06-16,45,2,2,None,3502341.2059537894,3502341.2059537894,8,8,0,100,5.0331602096557617,25.203107059399962,0,100,25,0,A2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,2,2025-Jun-16 17:21:29,32.520485834603654,0.068379893893836835,7.6077406861765964e-08,65.040971669207309,18.562570968808203,57.079623789188808,0.57079623789188805,11623.145237404791,1.0016604839057364,5.7030738676581914,--,0.0018864028480208336,3843.0543446598735,--,--,--,--,5.0587850790733837,6.2370487041799407,149.45347720238297,18.428351818236955,98.989173727542962,99.999134370427058,10.117570158146767,4.8906490264152789e-07,--,53.814836893356372,7.920445392259551,37769.672861016923,81.571648181763052,1.0108262724570352,0.00086562957293856012,107.62967378671274,4.5973831289022671e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00011364463827900566,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88284493289695476,Aqueous,
A3 ,,17:38:36,2025-06-16,95,3,3,None,4731550.7939857477,7337102.7441327153,8,8,0,100,5.0331602096557617,25.184486647974676,35.512000322341919,100,25,0,A3,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,3,2025-Jun-16 17:21:29,73.11673392942086,0.070470142709065597,3.3820747626747727e-08,146.23346785884172,25.373421108820672,34.702618327171834,0.34702618327171836,77375.7955874443,1.0010880456437006,0.67407884510025962,--,1140.8412762842411,973.5917088325109,--,--,--,--,3.6076477166379468,11.176859764649185,67.759728813608433,2.7843665993179774,96.468818876252527,99.999623759003697,7.2152954332758936,6.8545013253775378e-07,--,77.058457307861218,11.814695932284199,87490.484067130616,97.215633400682023,3.5311811237474897,0.00037624099630353654,154.11691461572244,3.2090735941410196e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00017683462606349638,2,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88322234612377648,Aqueous,
A4 ,,17:39:20,2025-06-16,139,4,4,None,4723741.8466634061,5904677.2203427106,8,8,0,100,5.0331602096557617,25.082652455854603,0,80.000001192092896,25,0,A4,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,4,2025-Jun-16 17:21:29,59.505687073237013,0.071306505945045784,4.1445466634463353e-08,119.01137414647403,30.716971924566117,51.620228982082011,0.51620228982082006,47784.888284738343,1.0012479983366014,0.79274286486389733,--,542.37365996993151,1823.4271496411018,--,--,--,--,4.2301204099379222,11.381889637201253,98.337411953243802,4.2180537050422187,97.046475578077747,99.999083252499688,8.4602408198758443,5.8301909382074865e-07,--,63.322761734638128,10.558492616052147,55267.317925472948,95.781946294957791,2.9535244219222574,0.00091674750030731813,126.64552346927626,3.894714792272879e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00015116189053322377,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88529127676720853,Aqueous,
A5 ,,17:40:05,2025-06-16,184,5,5,None,4978974.106291865,5532193.5979884872,8,8,0,100,5.0331602096557617,25.007910723217503,0,89.999997615814209,25,0,A5,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,5,2025-Jun-16 17:21:29,56.916396616989296,0.054699882373994251,4.3245640708132435e-08,113.83279323397859,31.77948428962619,55.835376409159664,0.55835376409159665,43060.901625779617,1.0006801308462596,0.8596259905538649,--,147.09848069321831,2116.1493998713258,--,--,--,--,3.6583835957279907,10.350086358205937,70.01044263546612,5.1053124501655516,98.43775638212756,99.999732778441555,7.3167671914559813,6.7280698540582817e-07,--,65.604049725685257,7.5315706902291266,60038.936421393293,94.89468754983443,1.5622436178724408,0.00026722155844784449,131.20809945137051,3.7518812463435515e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00010644041246467977,3,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88681504108548348,Aqueous,
A6 ,,17:40:48,2025-06-16,227,6,6,None,7020882.7039262578,7390402.9389755009,8,8,0,100,5.0331602096557617,24.958267483902542,0,94.999998807907104,25,0,A6,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,6,2025-Jun-16 17:21:29,65.923320284972277,0.045910103027219658,3.7288227682040477e-08,131.84664056994455,18.708859562565639,28.379728875443895,0.28379728875443894,60724.826138995952,1.0013507386329989,0.19196658482620918,--,1381.55316445772,907.41948537025428,--,--,--,--,1.5621324290828356,8.7881265990505533,9.5595990772087038,1.471720929168808,99.551749760411809,99.999991921706808,3.1242648581656711,1.5735949978231801e-06,--,60.65010903272286,11.757161182876464,49962.941872259056,98.528279070831189,0.44825023958818483,8.0782931875857963e-06,121.30021806544572,4.0530244966515366e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00013072151115409828,2,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.8878295921900895,Aqueous,
A7 ,,17:41:34,2025-06-16,273,7,7,None,5340814.262468759,5340814.262468759,8,8,0,100,5.0331602096557617,24.911816320981796,0,100,25,0,A7,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,7,2025-Jun-16 17:21:29,57.570377602356245,0.057671975508858879,4.2646071157141985e-08,115.14075520471249,32.86095684342699,57.079627079051939,0.57079627079051942,44227.507015673968,1.0010218684737655,0.72294936134515642,--,0.00065807360134438955,2154.2687854530109,--,--,--,--,3.5894076348331962,38.304031518426712,66.960850820647934,5.9180550138379173,95.541431259592628,99.999681158157458,7.1788152696663925,6.8399877348779053e-07,--,89.502192316398876,26.498353791586311,124187.84363139723,94.081944986162071,4.4585687404073688,0.0003188418425318346,179.00438463279775,2.7431176334702775e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00011473528060096799,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88878069892558398,Aqueous,
A8 ,,17:42:22,2025-06-16,321,8,8,None,7008687.4974270761,7225451.0232804473,8,8,0,100,5.0331602096557617,24.886320117177416,2.9999999329447746,100,25,0,A8,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,8,2025-Jun-16 17:21:29,52.781258581047894,0.021355698720138178,4.6484248636558463e-08,105.56251716209579,30.127348426106423,57.079632498426662,0.57079632498426658,36094.144891953023,1.0003798686100525,0.83802382619769289,--,2.0818357844074487e-07,2348.1548724982281,--,--,--,--,4.5821689665560434,24.704999858622369,118.56399281770683,14.398459488066182,95.481400919540647,99.999523951976883,9.1643379331120869,5.3544449476640815e-07,--,--,--,--,--,--,--,--,--,--,109.3923852322644,24.986672497379402,198609.79134012619,85.60154051193382,4.5185990804593539,0.00047604802311847666,218.7847704645288,2.2428408906365777e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00010486204809907235,3,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88930348199409193,Aqueous,
A9 ,,17:43:09,2025-06-16,368,9,9,None,4987657.2805043524,7673318.8227197053,8,8,0,100,5.0331602096557617,24.887614651438387,34.999999403953552,100,25,0,A9,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,9,2025-Jun-16 17:21:29,71.621202337350113,0.086233076981898027,3.4257747674383827e-08,143.24240467470023,26.037189213834921,36.354024177358234,0.36354024177358235,73723.341351838899,1.0012192058229592,0.89211049155788524,--,1116.0288290880078,1028.8986517732626,--,--,--,--,4.0360383447433161,8.8680056338765549,88.103432749882543,2.9736933455481216,95.568690974449041,99.999281321876282,8.0720766894866323,6.0791817823152313e-07,--,76.337363631264154,11.833147504906071,85586.852990402884,97.026306654451872,4.4313090255509575,0.00071867812371555315,152.67472726252831,3.2141286535130735e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00017172350772756229,2,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88927692579597384,Aqueous,
A10 ,,17:43:57,2025-06-16,416,10,10,None,5130424.2150406186,6413030.1732391771,8,8,0,100,5.0331602096557617,24.903651728590383,0,80.000001192092896,25,0,A10,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,10,2025-Jun-16 17:21:29,62.225485441080473,0.092241915757420551,3.9447196341619378e-08,124.45097088216095,25.618578350094449,41.170556032627417,0.41170556032627414,53052.477542728993,1.0016360390986192,1.4107478266201483,--,1118.5756703407585,1337.9651457918919,--,--,--,--,3.5693160010036453,11.288247117913151,66.087152195318524,3.5180035550735327,97.856749657166603,99.999643091847688,7.1386320020072906,6.8770065215763244e-07,--,64.775007141173489,8.5312976652243417,58278.699870475844,96.481996444926466,2.1432503428334102,0.00035690815232691022,129.55001428234698,3.7894568445159268e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00020246730145101038,3,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88894805161565116,Aqueous,
