Item,Series,Time Stamp,Date,Time (s),NodeNumber,Measurement ID,Image,Intensity (Cnt/s),Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,% Acqs Unmarked,Acq Time (s),DLS Temp (C),Attenuation Level (%),Laser Power (%),Set Temp (C),Ramp Rate (C/min),Well,Insert Info,Row,Col,Configuration,Radius (nm),Amplitude,Diffusion Coefficient (cm²/s),Diameter (nm),Polydispersity (nm),%PD,PD Index,Mw-R (kDa),Baseline,SOS,Viscosity from Sample Rh (cP),Lambda (1/s),Sigma (1/s²),D10 (nm),D50 (nm),D90 (nm),Span (D90 - D10)/D50,Range1 Radius (M) (nm),Range1 %Pd (M),Range1 Mw-R (M) (kDa),Range1 %Intensity (M),Range1 %Mass (M),Range1 %Number (M),Range1 Diameter (M) (nm),Range1 Diffusion Coefficient (M) (cm²/s),Range1 Particle Concentration (M) (1/mL),Range2 Radius (M) (nm),Range2 %Pd (M),Range2 Mw-R (M) (kDa),Range2 %Intensity (M),Range2 %Mass (M),Range2 %Number (M),Range2 Diameter (M) (nm),Range2 Diffusion Coefficient (M) (cm²/s),Range2 Particle Concentration (M) (1/mL),Range3 Radius (M) (nm),Range3 %Pd (M),Range3 Mw-R (M) (kDa),Range3 %Intensity (M),Range3 %Mass (M),Range3 %Number (M),Range3 Diameter (M) (nm),Range3 Diffusion Coefficient (M) (cm²/s),Range3 Particle Concentration (M) (1/mL),Range4 Radius (M) (nm),Range4 %Pd (M),Range4 Mw-R (M) (kDa),Range4 %Intensity (M),Range4 %Mass (M),Range4 %Number (M),Range4 Diameter (M) (nm),Range4 Diffusion Coefficient (M) (cm²/s),Range4 Particle Concentration (M) (1/mL),Range5 Radius (M) (nm),Range5 %Pd (M),Range5 Mw-R (M) (kDa),Range5 %Intensity (M),Range5 %Mass (M),Range5 %Number (M),Range5 Diameter (M) (nm),Range5 Diffusion Coefficient (M) (cm²/s),Range5 Particle Concentration (M) (1/mL),RMS Error,Number Unfiltered Peaks (M),Number Filtered Peaks (M),Pre-correction Internal Standard Rh (M) (nm),Internal Standard Viscosity (M) (cP),Mw-S (Da),1/Mw-S (1/Da),Particle Concentration (1/mL),Particle Concentration Calculation,Particle Material,Particle Shape,Particle Core Real RI,Particle Core Imaginary RI,Sample,Concentration (mg/mL),Mw-R Model,dn/dc (mL/g),Conformation Model for SLS,A2 (mol mL/g^2),Viscosity Calculation: Use Internal Standard,Internal Standard Rh (nm),Internal Standard Rh Range Minimum (nm),Internal Standard Rh Range Maximum (nm),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,
A1 ,,18:44:40,2025-06-11,0,1,1,None,5989910.6004363755,9215247.4156076852,7,7,0,100,5.0331602096557617,25.12845947386025,0,64.999997615814209,25,0,A1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,1,2025-Jun-11 18:39:14,65.594903168697655,0.056288007344534007,3.7643451072947374e-08,131.18980633739531,22.690641775308329,34.592080602592404,0.34592080602592401,60019.352567568683,1.0023795284131658,0.33618143298282421,--,1272.5198657058252,1080.5446918083444,--,--,--,--,1.921497223306597,0,15.518115168216459,1.8694022762881031,99.361293731537572,99.999976878623769,3.842994446613194,1.2850492304206669e-06,--,59.798259105867039,11.90625734892315,48336.42258411806,98.130597723711901,0.63870626846243395,2.3121376225454749e-05,119.59651821173408,4.129248183787555e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00015243816638972103,2,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88435960997783181,Aqueous,
A2 ,,18:45:18,2025-06-11,38,2,2,None,4072133.1490208274,4072133.1490208274,7,7,0,100,5.0331602096557617,25.205106367474425,0,100,25,0,A2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,2,2025-Jun-11 18:39:14,48.819210162217516,0.056649894973191735,5.0680958055807112e-08,97.638420324435032,27.865822034495491,57.079624889264579,0.5707962488926458,30070.682925445115,1.000728937274618,3.33423276478455,--,0.0010979728468986025,2560.1514244636501,--,--,--,--,4.9838684671280467,1.4787244441899348,144.32611541546402,12.216703282685049,98.190585390264744,99.999434032393367,9.9677369342560933,4.9644254435445362e-07,--,75.849045100701204,11.905155208860746,84311.330445653191,87.78329671731494,1.8094146097352517,0.00056596760664390624,151.69809020140241,3.2620111950837268e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00010820731877906135,3,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88280442568875672,Aqueous,
A3 ,,18:46:02,2025-06-11,82,3,3,None,5244627.709531513,10489255.419063026,7,7,0,100,5.0331602096557617,25.186610604854206,0,50,25,0,A3,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,3,2025-Jun-11 18:39:14,79.787321165477294,0.01645418926645216,3.0994909485200313e-08,159.57464233095459,45.542309678828666,57.079632469894349,0.57079632469894348,94912.531976453232,1.0003671406122157,1.8220914551536542,--,2.6561914789196066e-06,1565.7098869353579,--,--,--,--,4.8709468859020717,16.09900391815167,136.79066993180902,15.615314669358288,69.044073361213449,99.999520426050623,9.7418937718041434,5.0770432433746199e-07,--,--,--,--,--,--,--,--,--,--,120.15586747991151,19.667189679121552,247380.78832179264,77.421990263620785,4.8050290251801808,0.00047956578759734004,240.31173495982301,2.0581606620284522e-08,--,--,--,--,--,--,--,--,--,--,9260.399658555616,24.190978063032833,6431301951.3221931,6.9626950670209293,26.150897613606375,8.1617774610364025e-09,18520.799317111232,2.6705119528030186e-10,--,0.0005917537502912628,4,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88317928218598996,Aqueous,
A4 ,,18:46:42,2025-06-11,122,4,4,None,4939131.3231137386,6585508.4308183184,7,7,0,100,5.0331602096557617,25.142312283647062,0,75,25,0,A4,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,4,2025-Jun-11 18:39:14,139.04981222787384,0.068569148179669706,1.7764276477301773e-08,278.09962445574769,79.369121447676974,57.079632238271145,0.5707963223827115,348151.90434594546,1.0036593562642564,1.4152149379656109,--,1.323486289233062e-05,897.3635868403353,--,--,--,--,2.5340852978281982,9.1477285260257588,29.651015342709879,2.7527287411970964,94.352644348619293,99.99981474510696,5.0681705956563965,9.7475775998930605e-07,--,28.049214556220964,10.989709999434604,8222.8718453226666,5.31449446822164,0.17587443624603424,0.00014046958588435484,56.098429112441927,8.8063760344583568e-08,--,120.63956765657824,11.853705592807877,249717.18246859341,60.192858660808312,3.9167394592069931,4.0004889676563159e-05,241.27913531315647,2.0475200272305992e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00014659732212294181,6,4,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88407818740934296,Aqueous,
A5 ,,18:47:20,2025-06-11,160,5,5,None,2386159.8110298952,2386159.8110298952,7,7,0,100,5.0331602096557617,25.087563176548958,0,100,25,0,A5,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,5,2025-Jun-11 18:39:14,33.700748699401586,0.046563258872781857,7.3190068303892834e-08,67.401497398803173,19.236263495695582,57.079632465367609,0.57079632465367613,12634.256069102375,1.0037289856489646,10.955109910158209,--,7.2153044931686598e-06,3697.2011036290955,--,--,--,--,4.4345446929329082,12.3158823080636,109.81863273671642,25.630803376941177,99.336721805607993,99.99989216477212,8.8690893858658164,5.5621496004592128e-07,--,82.140846308128346,13.928153859250111,101593.09956616953,74.369196623058826,0.66327819439200786,0.00010783522788322347,164.28169261625669,3.0028423251799981e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00013678457060305462,3,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88519131780900617,Aqueous,
A6 ,,18:48:01,2025-06-11,201,6,6,None,1752492.9717726575,1752492.9717726575,7,7,0,100,5.0331602096557617,25.01719622752751,0,100,25,0,A6,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,6,2025-Jun-11 18:39:14,18.214770720796569,0.04864805477149,1.3516442194949246e-07,36.429541441593138,10.396921529998846,57.079617906626979,0.57079617906626978,2994.4567961833864,1.0030757675346949,10.658470749312619,--,0.0056148497286477193,6827.8370941380672,--,--,--,--,5.8152537157675965,10.918331312235004,207.06963859820675,46.647029883545649,95.968928498217522,99.999386321847908,11.630507431535193,4.2336741881846387e-07,--,--,--,--,--,--,--,--,--,--,107.96784406626938,3.7948483345569355,192610.94550536634,53.352970116454344,4.031071501782483,0.00061367815210090998,215.93568813253876,2.2802983394832524e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00017350259024626004,3,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88662549392375001,Aqueous,
A7 ,,18:48:42,2025-06-11,242,7,7,None,3132347.5019576116,3132347.5019576116,7,7,0,100,5.0331602096557617,24.945646933001949,0,100,25,0,A7,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,7,2025-Jun-11 18:39:14,312.99845851286864,0.064797380303178165,7.8509808324719138e-09,625.99691702573728,178.65836769299773,57.079631810919089,0.57079631810919085,2324065.1260029539,1.0289326860158234,36.92285498295648,--,1.5399775454239225e-05,396.59280532904586,--,--,--,--,3.2396439324945203,10.167580961627605,52.679323910149144,15.734068271270059,95.549025585603715,99.999993374214313,6.4792878649890406,7.5852314315469724e-07,--,--,--,--,--,--,--,--,--,--,181.11526748794563,8.9900560470725797,646162.73862775997,60.860305599218663,1.1090945734633006,6.5617001536261863e-06,362.23053497589126,1.3567850642637509e-08,--,1228.51135691887,10.097251515327191,56978111.738429934,23.405626129511283,3.3418798409329749,6.4085536368994531e-08,2457.02271383774,2.00026225605342e-09,--,--,--,--,--,--,--,--,--,--,0.00025921489127112788,5,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88808783163094807,Aqueous,
A8 ,,18:49:22,2025-06-11,282,8,8,None,528303.20269837242,528303.20269837242,7,7,0,100,5.0331602096557617,24.901938266856519,0,100,25,0,A8,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,8,2025-Jun-11 18:39:14,6.6679259567602358,0.022096734090825385,3.6810694137377928e-07,13.335851913520472,3.8060270403151781,57.079623634039628,0.57079623634039622,285.20179711792059,1.0029348519331613,2.8782876632166809,--,0.0092900902699600794,18594.942086862415,--,--,--,--,2.7781651551217985,30.255950457884939,36.76916487190217,65.403846946943275,99.829398748703753,99.999998468943474,5.556330310243597,8.8350032924598834e-07,--,--,--,--,--,--,--,--,--,--,123.67956396119331,19.323981884621215,264689.91235631175,34.59615305305671,0.17060125129624878,1.5310565269907172e-06,247.35912792238662,1.9845718650980915e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00040766467969842359,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88898317989049547,Aqueous,
A9 ,,18:50:01,2025-06-11,321,9,9,None,1475747.7553433019,1475747.7553433019,7,7,0,100,5.0331602096557617,24.863116534276482,0,100,25,0,A9,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,9,2025-Jun-11 18:39:14,468.36105110281744,0.038089214758563049,5.2352623375969399e-09,936.72210220563488,162.38524678300624,34.670954469986114,0.34670954469986115,5967652.7980372589,1.0266783640293951,4.1825715127719745,--,176.70495478393539,150.58333387516822,--,--,--,--,0.63307778857558072,11.578463185542866,1.1551221861152887,3.7906910614586935,99.885171043025323,99.999999998644711,1.2661555771511614,3.8731306254684082e-06,--,--,--,--,--,--,--,--,--,--,274.66131725861709,6.2054730211187019,1711894.6889026663,96.209308938541326,0.11482895697468105,1.3553087740197426e-09,549.32263451723418,8.9273327445929905e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0012494787648464115,3,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88977971156706293,Aqueous,
A10 ,,18:50:42,2025-06-11,362,10,10,None,3915558.4235949814,3915558.4235949814,7,7,0,100,5.0331602096557617,24.850269566374148,0,100,25,0,A10,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,10,2025-Jun-11 18:39:14,16.269755971992609,0.071801416346968308,1.5065747431480771e-07,32.539511943985218,6.2042009864711796,38.133337692042417,0.38133337692042418,2299.1537394205457,0.99995889423110662,0.10414482275439059,--,4696.8138828767433,4734.2308494441013,--,--,--,--,9.822361567870967,60.108022505135509,705.9362107264069,100.00000000000001,100,100,19.644723135741934,2.4954898325840839e-07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.702107926423338e-05,4,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89004356907461946,Aqueous,
